id;datum_von;datum_bis;hoehe;geobreite;geolaenge;name;bundesland;UTM_x;UTM_y
131;20041101;20220107;296;51.0881;12.9326;Geringswalde-Altgeringswalde;Sachsen;355212.871535979;5661654.97611666
314;20040501;20220107;234;51.1604;14.5042;Kubschuetz, Kr. Bautzen;Sachsen;465330.095164056;5667779.06144525
504;20070601;20220107;79;51.7982;13.9716;Bischdorf, Kreis Oberspreewald;Brandenburg;429083.655802652;5739093.98937984
633;20040601;20220107;126;51.4041;14.5681;Boxberg;Sachsen;469957.823828093;5694852.39354498
853;19950901;20220107;416;50.7913;12.872;Chemnitz;Sachsen;350017.114965783;5628775.65472907
880;19950901;20220107;69;51.776;14.3168;Cottbus;Brandenburg;452864.472086489;5736345.5483608
991;20050201;20220107;359;50.9116;13.7087;Dippoldiswalde-Reinberg;Sachsen;409219.494851906;5640788.62021639
1001;19950901;20220107;97;51.6451;13.5747;Doberlug-Kirchhain;Brandenburg;401382.831130416;5722528.39482533
1048;19950901;20220107;228;51.1278;13.7543;Dresden-Klotzsche;Sachsen;412831.530016095;5664774.68317055
1050;20060401;20220107;112;51.0221;13.847;Dresden-Hosterwitz;Sachsen;419134.026871872;5652915.06417125
1051;20070301;20220107;120;51.0248;13.775;Dresden-Strehlen;Sachsen;414089.433197204;5653296.77469148
1166;20040901;20220107;107;51.4603;12.6687;Eilenburg;Sachsen;338047.482478504;5703591.78723959
1210;20060701;20220107;90;51.4505;13.5046;Elsterwerda;Brandenburg;396090.405070061;5700984.7263968
1441;20150401;20220107;416;50.9263;13.2711;Freiberg;Sachsen;378495.460096864;5643052.59496733
1684;19950901;20220107;239;51.1621;14.9506;Goerlitz;Sachsen;496545.714310274;5667852.43190403
1744;20041201;20220107;139;51.5718;14.4763;Graustein;Brandenburg;463705.810714052;5713544.2749253
2252;20050701;20220107;270;50.899;14.7457;Bertsdorf-Hoernitz;Sachsen;482117.170345912;5638624.20167786
2278;20041201;20220107;131;51.764;13.47;Hohenbucko;Brandenburg;394416.151571402;5735897.56572735
2627;20040701;20220107;128;51.5554;13.8845;Klettwitz;Brandenburg;422665.104917187;5712180.0653931
2641;20040901;20220107;90;51.5185;12.9065;Klitzschen bei Torgau;Sachsen;354750.534048663;5709564.28794981
2958;20041001;20220107;204;51.0265;14.9357;Ostritz;Sachsen;495490.665631281;5652773.76222581
2985;19950901;20220107;321;50.9383;14.2094;Lichtenhain-Mittelndorf;Sachsen;444450.731903226;5643261.24165901
3083;20050101;20220107;57;51.9267;13.8797;Luebben-Blumenfelde;Brandenburg;422966.413906266;5753478.53214536
3094;20061101;20220107;166;51.3122;14.0499;Kamenz-Cunnersdorf;Sachsen;433780.927484526;5684972.21376076
3166;19950901;20220107;639;50.651;13.1469;Marienberg;Sachsen;369000.120793097;5612654.38480911
3175;20061101;20220107;504;50.5219;12.8282;Raschau;Sachsen;346051.902617519;5598913.12491908
3234;20050201;20220107;158;51.1294;13.4328;Garsebach bei Mei�en;Sachsen;390339.263785438;5665382.6122105
3426;20040601;20220107;127;51.566;14.7008;Muskau, Bad;Sachsen;479261.740722368;5712811.7036357
3740;20080401;20220107;195;50.9933;13.9808;Lohmen/Sachsen;Sachsen;428473.625304239;5649574.19675236
3811;19950901;20220107;150;51.296;13.0928;Oschatz;Sachsen;367031.178592779;5684469.37338871
4023;20100401;20220107;270;51.2006;14.0207;Pulsnitz;Sachsen;431580.358689182;5672588.46496807
4982;20041101;20220107;532;50.6074;12.939;Tannenberg;Sachsen;354169.510924416;5608195.13840476
5779;19950901;20220107;877;50.7314;13.7516;Zinnwald-Georgenfeld;Sachsen;411896.847816962;5620699.3828017
5943;20070101;20220107;460;50.8377;14.0719;Rosenthal-Bielatal;Sachsen;434649.232661718;5632187.17313049
6129;20041101;20220107;291;51.0593;14.4266;Sohland/Spree;Sachsen;459816.201573668;5656575.7030399
6314;20050801;20220107;306;51.0507;13.3003;Nossen;Sachsen;380866.408719664;5656837.38079196
7323;20060101;20220107;150;51.2359;12.5517;Belgershain;Sachsen;329087.582018568;5678906.44745603
7326;20060101;20220107;134;51.1918;12.7645;Grimma-Kleinbothen;Sachsen;343791.946418656;5673529.32426524
7327;20070501;20220107;323;50.8836;13.0425;Frankenberg-Altenhain;Sachsen;362305.056559619;5638706.18023267
7333;20060701;20220107;727;50.5803;13.2966;Marienberg-Ruebenau;Sachsen;379401.435773551;5604539.41881239
7334;20060301;20220107;131;51.2651;13.3588;Hirschstein-Heyda;Sachsen;385498.532042881;5680585.04907281
7335;20060201;20220107;138;51.3658;13.5801;Strauch;Sachsen;401153.883337636;5691461.3461287
7337;20070401;20220107;332;51.0577;14.6128;Duerrhennersdorf;Sachsen;472864.086966806;5656312.69400797
7343;20060401;20220107;689;50.62;13.4817;Deutschneudorf-Bruederwiese;Sachsen;392596.064691555;5608668.91905578
7393;20100101;20220107;116;51.4493;14.2533;Hoyerswerda;Sachsen;448112.345049608;5700055.10312005
7418;20080601;20220107;321;50.802;12.6366;Sankt Egidien-Kuhschnappel;Sachsen;333465.800671947;5630469.37044986
7423;20070401;20220107;163;51.3443;14.8387;Haehnichen-Trebus;Sachsen;488765.619384089;5688125.83152387
13654;20070801;20220107;285;51.0063;13.471;Wilsdruff-Mohorn;Sachsen;392727.85177475;5651638.04787932
