id,datum_von,datum_bis,hoehe,lat,lon,name,bundesland,easting_utm,northing_utm
303,19950901,20220107,55,52.0613,13.4997,Baruth,Brandenburg,397147.188106983,5768918.34482633
73,20070401,20220107,340,48.6159,13.0506,Aldersbach-Kriestorf,Bayern,356326.254440944,5386592.79328247
3308,20050801,20220107,72,53.1846,13.6546,Mittenwalde/Uckermark,Brandenburg,410097.603847936,5893651.16812102
87,20050201,20220107,158,51.095,11.0479,Alperstedt,Th�ringen,223295.695194399,5667820.98465545
96,20190409,20220107,50,52.9437,12.8518,Neuruppin-Alt Ruppin,Brandenburg,355655.273006055,5868167.56767583
118,20050601,20220107,388,49.4053,12.2852,Altendorf,Bayern,303060.064280717,5476056.70937719
103,20040701,20220107,364,48.896,12.217,Hagelstadt,Bayern,296031.684357214,5419628.71921213
3348,20040601,20220107,240,51.7209,9.8352,Moringen-Lutterbeck,Niedersachsen,143345.339730175,5742630.68533295
3153,20041001,20220107,449,48.6189,12.6233,Mamming-Schneiderberg,Bayern,324846.034133357,5387818.64347335
29,20060110,20220107,260,49.7175,10.9101,Adelsdorf (Kl�ranlage),Bayern,205215.843129574,5515254.36480403
3148,20061101,20070619,40,53.2113,11.3247,Malli�,Mecklenburg-Vorpommern,254602.658556332,5902083.25476237
3158,19950901,20220107,12,52.5468,14.5452,Manschnow,Brandenburg,469159.656952214,5821954.86927016
46,20060103,20220107,325,48.945,12.4639,Aholfing,Bayern,314307.349581307,5424441.69725913
6252,20030428,20220107,376,49.2105,11.1843,Rothsee bei Allersberg,Bayern,222118.066049766,5457866.89329867
3166,19950901,20220107,639,50.651,13.1469,Marienberg,Sachsen,369000.120793097,5612654.38480911
6249,20030418,20220107,350,50.3485,11.0313,R�dental-Sch�nst�dt (Speicher),Bayern,217678.023947662,5584913.48898181
53,20051001,20220107,60,52.585,13.5634,Ahrensfelde,Brandenburg,402670.02580329,5827076.0587687
3175,20061101,20220107,504,50.5219,12.8282,Raschau,Sachsen,346051.902617519,5598913.12491908
7099,20041101,20211004,187,52.0111,10.3966,Liebenburg-Othfresen,Niedersachsen,184134.631565119,5772282.88568052
3094,20061101,20220107,166,51.3122,14.0499,Kamenz-Cunnersdorf,Sachsen,433780.927484526,5684972.21376076
164,19950901,20220107,54,53.0316,13.9908,Angerm�nde,Brandenburg,432322.637799035,5876262.00621051
3126,19950901,20220107,79,52.1029,11.5827,Magdeburg,Sachsen-Anhalt,265972.775456814,5777993.30211644
3121,20040901,20220107,677,49.9113,12.5276,M�hring,Bayern,322493.887811101,5531699.5476275
3147,20130901,20200803,390,48.7548,12.2118,Mallersdorf-Pfaffenberg-Oberlindhart,Bayern,295075.313568697,5403949.09689482
191,20050301,20220107,217,49.9694,9.9114,Arnstein-M�desheim,Bayern,135166.354081718,5547648.53400171
6347,20050301,20220107,305,50.0579,10.2972,Schonungen-Mainberg,Bayern,163435.387088374,5555669.1831555
3146,20041101,20220107,31,53.2141,11.3686,Malk G�hren,Mecklenburg-Vorpommern,257548.537268306,5902244.74022719
124,20061101,20220107,265,51.2388,11.577,"Bibra, Bad-Altenroda",Sachsen-Anhalt,261075.148294235,5681949.02305145
3220,20060109,20220107,450,50.3571,10.8832,Meeder-Ottowind,Bayern,207198.897221141,5586442.40159574
7077,20041101,20220107,54,53.5255,13.0161,Gro� Lukow,Mecklenburg-Vorpommern,368489.597494782,5932561.81145886
131,20041101,20220107,296,51.0881,12.9326,Geringswalde-Altgeringswalde,Sachsen,355212.871535979,5661654.97611666
7075,20050201,20220107,429,48.702,11.8493,Elsendorf-Horneck,Bayern,268193.128368606,5399120.02439466
3231,19950901,20220107,450,50.5611,10.3771,Meiningen,Th�ringen,172630.70263686,5611229.14285403
3226,20060801,20220107,107,51.7259,11.5109,Aschersleben-Mehringen,Sachsen-Anhalt,259045.808026469,5736315.55505516
7079,20041201,20220107,14,53.0443,14.2423,Berkholz-Meyenburg,Brandenburg,449202.942696637,5877466.96397733
3234,20050201,20220107,158,51.1294,13.4328,Garsebach bei Mei�en,Sachsen,390339.263785438,5665382.6122105
151,20050301,20220107,382,49.4691,11.8546,Amberg-Unterammersricht,Bayern,272123.524948808,5484361.84246601
3179,20040801,20220107,320,49.666,10.3851,Markt Bibart,Bayern,167036.320260825,5511728.05236664
3205,20050801,20220107,33,52.6579,13.179,Marwitz (Wasserwerk),Brandenburg,376833.72672364,5835772.13263724
3204,20080701,20220107,429,50.7335,10.8815,Martinroda,Th�ringen,209403.839306379,5628282.09316398
622,20060601,20220107,66,52.3745,11.4655,Westheide-Born,Sachsen-Anhalt,259423.476009745,5808572.87379707
550,20021101,20220107,344,50.9041,11.7985,Bobeck,Th�ringen,274913.155988219,5644043.3200146
